text,label
"TEST_F(EnvLoggerTest, VerifyEmptyLogFile) {
  auto log_handler = CreateLogger();
  ASSERT_EQ(log_handler->Close(), Status::OK());

  // Check the log file size.
  uint64_t log_file_size;
  ASSERT_EQ(env_->GetFileSize(kLogFile, &log_file_size), Status::OK());
  ASSERT_EQ(log_file_size, 0);
  RemoveLogFile();
}",3
"TEST_F(FsTest, createDirectory) {
  auto dir = exec::test::TempDirectoryPath::create();
  auto rootPath = dir->getPath();
  auto tmpDirectoryPath = rootPath + ""/first/second/third"";
  

  std::thread t1([&]() {
    std::this_thread::sleep_for(std::chrono::milliseconds(rand() % 10)); // Random delay
    EXPECT_FALSE(fs::exists(tmpDirectoryPath.c_str()));
  });

  t1.join(); // Ensure the concurrent operation is completed

  // First time should generate directory successfully.
  EXPECT_TRUE(generateFileDirectory(tmpDirectoryPath.c_str()));
  EXPECT_TRUE(fs::exists(tmpDirectoryPath.c_str()));

  std::thread t2([&]() {
    std::this_thread::sleep_for(std::chrono::milliseconds(rand() % 10)); // Random delay
    EXPECT_TRUE(generateFileDirectory(tmpDirectoryPath.c_str()));
  });

  t2.join(); // Ensure the concurrent operation is completed

  // Directory already exists, not creating but should return success.
  EXPECT_TRUE(generateFileDirectory(tmpDirectoryPath.c_str()));
  EXPECT_TRUE(fs::exists(tmpDirectoryPath.c_str()));
  dir.reset();
  EXPECT_FALSE(fs::exists(rootPath.c_str()));
}",1
"TEST_F(ExternalSSTFileBasicTest, AddFilesWithoutCopyTest) {
  Options options = CurrentOptions();
  const ImmutableCFOptions immutable_options(options);
  SstFileWriter sst_writer(EnvOptions(), options);

  // sst_file_a.sst (0 => 99)
  std::string sst_file_a = sst_files_dir_ + ""sst_file_a.sst"";
  ASSERT_OK(sst_writer.Open(sst_file_a));
  for (int i = 0; i < 100; i++) {
    ASSERT_OK(sst_writer.Put(Key(i), Key(i) + ""_data""));
  }
  ExternalSstFileInfo file_a_info;
  Status result = sst_writer.Finish(&file_a_info);
  ASSERT_OK(result) << result.ToString();
  ASSERT_EQ(file_a_info.file_path, sst_file_a);
  ASSERT_EQ(file_a_info.num_entries, 100);
  ASSERT_EQ(file_a_info.smallest_key, Key(0));
  ASSERT_EQ(file_a_info.largest_key, Key(99));

  // sst_file_b.sst (100 => 299)
  std::string sst_file_b = sst_files_dir_ + ""sst_file_b.sst"";
  ASSERT_OK(sst_writer.Open(sst_file_b));
  for (int i = 100; i < 300; i++) {
    ASSERT_OK(sst_writer.Put(Key(i), Key(i) + ""_data""));
  }
  ExternalSstFileInfo file_b_info;
  result = sst_writer.Finish(&file_b_info);
  ASSERT_OK(result) << result.ToString();
  ASSERT_EQ(file_b_info.file_path, sst_file_b);
  ASSERT_EQ(file_b_info.num_entries, 200);
  ASSERT_EQ(file_b_info.smallest_key, Key(100));
  ASSERT_EQ(file_b_info.largest_key, Key(299));

  // sst_file_c.sst (110 => 124) .. overlap with sst_file_b.sst
  std::string sst_file_c = sst_files_dir_ + ""sst_file_c.sst"";
  ASSERT_OK(sst_writer.Open(sst_file_c));
  for (int i = 110; i < 125; i++) {
    ASSERT_OK(sst_writer.Put(Key(i), Key(i) + ""_data_overlap""));
  }
  ExternalSstFileInfo file_c_info;
  result = sst_writer.Finish(&file_c_info);
  ASSERT_OK(result) << result.ToString();
  ASSERT_EQ(file_c_info.file_path, sst_file_c);
  ASSERT_EQ(file_c_info.num_entries, 15);
  ASSERT_EQ(file_c_info.smallest_key, Key(110));
  ASSERT_EQ(file_c_info.largest_key, Key(124));

  result = DeprecatedAddFile({sst_file_a}, true /* move file */);
  ASSERT_OK(result) << result.ToString();
  ASSERT_EQ(Status::NotFound(), env_->FileExists(sst_file_a));

  result = DeprecatedAddFile({sst_file_b}, false /* copy file */);
  ASSERT_OK(result) << result.ToString();
  ASSERT_OK(env_->FileExists(sst_file_b));

  result = DeprecatedAddFile({sst_file_c}, true /* move file */);
  ASSERT_NOK(result) << result.ToString();
  ASSERT_OK(env_->FileExists(sst_file_c));

  for (int i = 0; i < 300; i++) {
    ASSERT_EQ(Get(Key(i)), Key(i) + ""_data"");
  }
}",3
"TEST(AsyncSourceTest, ConcurrentThreads) {
  constexpr int32_t num_threads = 10;
  constexpr int32_t num_gizmos = 2000;
  folly::Synchronized<std::unordered_set<int32_t>> results_set;
  std::vector<std::shared_ptr<AsyncSource<Gizmo>>> gizmo_sources;
  for (auto i = 0; i < num_gizmos; ++i) {
    gizmo_sources.push_back(std::make_shared<AsyncSource<Gizmo>>([i]() {
      std::this_thread::sleep_for(std::chrono::milliseconds(1)); // NOLINT
      return std::make_unique<Gizmo>(i);
    }));
  }

  std::vector<std::thread> thread_pool;
  thread_pool.reserve(num_threads);
  for (int32_t thread_index = 0; thread_index < num_threads; ++thread_index) {
    thread_pool.push_back(std::thread([thread_index, &gizmo_sources, &results_set]() {
      if (thread_index < num_threads / 2) {
        // First half of the threads prepares Gizmos.
        for (auto i = 0; i < num_gizmos; ++i) {
          gizmo_sources[i]->prepare();
        }
      } else {
        // Remaining threads randomly obtain and collect Gizmos.
        folly::Random::DefaultGenerator random_gen;
        std::shuffle(gizmo_sources.begin(), gizmo_sources.end(), random_gen);

        for (auto i = 0; i < num_gizmos / 3; ++i) {
          auto gizmo = gizmo_sources[folly::Random::rand32(random_gen) % gizmo_sources.size()]->move();
          if (gizmo) {
            results_set.withWLock([&](auto& set) {
              EXPECT_TRUE(set.find(gizmo->id) == set.end());
              set.insert(gizmo->id);
            });
          }
        }
        for (auto i = 0; i < gizmo_sources.size(); ++i) {
          auto gizmo = gizmo_sources[i]->move();
          if (gizmo) {
            results_set.withWLock([&](auto& set) {
              EXPECT_TRUE(set.find(gizmo->id) == set.end());
              set.insert(gizmo->id);
            });
          }
        }
      }
    }));
  }
  for (auto& t : thread_pool) {
    t.join();
  }
  results_set.withRLock([&](auto& set) {
    for (auto i = 0; i < num_gizmos; ++i) {
      EXPECT_TRUE(set.find(i) != set.end());
    }
  });
}",9
"TEST_F(ImportColumnFamilyTest, CFImportNegativeTest) {
  Options db_options = CurrentOptions();
  CreateAndReopenWithCF({""beta""}, db_options);
  {
    // Create column family with an already existing name.
    ExportImportFilesMetaData file_meta_data;

    ASSERT_EQ(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""beta"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_),
              Status::InvalidArgument(""Column family already exists""));
    ASSERT_EQ(import_cfh_, nullptr);
  }

  {
    // Import with no file list provided.
    ExportImportFilesMetaData file_meta_data;

    ASSERT_EQ(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""zeta"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_),
              Status::InvalidArgument(""The list of files is empty""));
    ASSERT_EQ(import_cfh_, nullptr);
  }

  {
    // Import with overlapping key ranges.
    ExportImportFilesMetaData file_meta_data;
    SstFileWriter sst_writer(EnvOptions(), db_options, handles_[1]);
    const std::string sst_file1 = ""test1.sst"";
    const std::string file_path1 = sst_files_dir_ + sst_file1;
    ASSERT_OK(sst_writer.Open(file_path1));
    ASSERT_OK(sst_writer.Put(""Key1"", ""Val1""));
    ASSERT_OK(sst_writer.Put(""Key2"", ""Val2""));
    ASSERT_OK(sst_writer.Finish());
    const std::string sst_file2 = ""test2.sst"";
    const std::string file_path2 = sst_files_dir_ + sst_file2;
    ASSERT_OK(sst_writer.Open(file_path2));
    ASSERT_OK(sst_writer.Put(""Key2"", ""Val2""));
    ASSERT_OK(sst_writer.Put(""Key3"", ""Val3""));
    ASSERT_OK(sst_writer.Finish());
    file_meta_data.files.push_back(
        LiveFileMetaDataInit(sst_file1, sst_files_dir_, 1, 10, 19));
    file_meta_data.files.push_back(
        LiveFileMetaDataInit(sst_file2, sst_files_dir_, 1, 10, 19));
    file_meta_data.db_comparator_name = db_options.comparator->Name();

    ASSERT_EQ(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""zeta"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_),
              Status::InvalidArgument(""Files have overlapping ranges""));
    ASSERT_EQ(import_cfh_, nullptr);
  }

  {
    // Import with incompatible comparator.
    ExportImportFilesMetaData file_meta_data;
    Options invalid_options = CurrentOptions();
    invalid_options.comparator = ReverseBytewiseComparator();
    SstFileWriter writer_cf(EnvOptions(), invalid_options, handles_[1]);
    const std::string sst_file = ""test1.sst"";
    const std::string file_path = sst_files_dir_ + sst_file;
    ASSERT_OK(writer_cf.Open(file_path));
    ASSERT_OK(writer_cf.Put(""Key1"", ""Val1""));
    ASSERT_OK(writer_cf.Put(""Key2"", ""Val2""));
    ASSERT_OK(writer_cf.Finish());
    file_meta_data.files.push_back(
        LiveFileMetaDataInit(sst_file, sst_files_dir_, 1, 10, 19));
    file_meta_data.db_comparator_name = invalid_options.comparator->Name();

    ASSERT_EQ(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""theta"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_),
              Status::InvalidArgument(""Comparator name mismatch""));
    ASSERT_EQ(import_cfh_, nullptr);
  }

  {
    // Import with a missing SST file.
    ExportImportFilesMetaData file_meta_data;
    SstFileWriter writer_cf(EnvOptions(), db_options, handles_[1]);
    const std::string sst_file1 = ""test1.sst"";
    const std::string file_path1 = sst_files_dir_ + sst_file1;
    ASSERT    OK(writer_cf.Open(file_path1));
    ASSERT_OK(writer_cf.Put(""KeyA"", ""ValA""));
    ASSERT_OK(writer_cf.Put(""KeyB"", ""ValB""));
    ASSERT_OK(writer_cf.Finish());
    const std::string missing_sst_file = ""test3.sst"";
    file_meta_data.files.push_back(
        LiveFileMetaDataInit(sst_file1, sst_files_dir_, 1, 10, 19));
    file_meta_data.files.push_back(
        LiveFileMetaDataInit(missing_sst_file, sst_files_dir_, 1, 10, 19));
    file_meta_data.db_comparator_name = db_options.comparator->Name();

    ASSERT_EQ(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""lambda"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_),
              Status::IOError(""No such file or directory""));
    ASSERT_EQ(import_cfh_, nullptr);

    // After the failure, test that importing with the same CF name works correctly.
    file_meta_data.files.pop_back();
    file_meta_data.db_comparator_name = db_options.comparator->Name();
    ASSERT_OK(db_->CreateColumnFamilyWithImport(ColumnFamilyOptions(), ""lambda"",
                                                ImportColumnFamilyOptions(),
                                                file_meta_data, &import_cfh_));
    ASSERT_NE(import_cfh_, nullptr);
  }
}",3
"bool unusedFlag = false;

TEST(calculateSlowDownPointsCollision, MultipleCollisionsScenario)
{
  using behavior_velocity_planner::occlusion_spot_utils::calcSlowDownPointsForPossibleCollision;
  using behavior_velocity_planner::occlusion_spot_utils::PossibleCollisionInfo;
  using std::chrono::duration;
  using std::chrono::duration_cast;
  using std::chrono::high_resolution_clock;
  using std::chrono::microseconds;
  
  std::vector<PossibleCollisionInfo> collisionList;
  autoware_auto_planning_msgs::msg::PathWithLaneId lanePath =
    test::generatePath(0.0, 3.0, 4.0, 3.0, 2000);
  test::generatePossibleCollisions(collisionList, 0.0, 3.0, 4.0, 3.0, 2000);

  auto timerStart = high_resolution_clock::now();
  calcSlowDownPointsForPossibleCollision(0, lanePath, 0, collisionList);

  auto timerEnd = high_resolution_clock::now();
  
  EXPECT_EQ(collisionList.size(), size_t{2000});
  EXPECT_EQ(lanePath.points.size(), size_t{2000});
  EXPECT_TRUE(duration_cast<microseconds>(timerEnd - timerStart).count() < 2000);
  std::cout << "" runtime (microsec) ""
            << duration_cast<microseconds>(timerEnd - timerStart).count() << std::endl;
}",6
"Status StressTest::ConfirmSnapshotValidity(DB* db_connection, ColumnFamilyHandle* cf_handle,
                                           ThreadState::SnapshotState& snapshot_state) {
  Status status;
  if (cf_handle->GetName() != snapshot_state.cf_at_name) {
    return status;
  }
  // Use ReadOptions with no rate-limiting for validation purposes.
  ReadOptions read_options;
  read_options.snapshot = snapshot_state.snapshot;
  Slice time_slice;
  if (!snapshot_state.timestamp.empty()) {
    time_slice = snapshot_state.timestamp;
    read_options.timestamp = &time_slice;
  }
  PinnableSlice expected_val(&snapshot_state.value);
  expected_val.PinSelf();
  PinnableSlice retrieved_val;
  status = db_connection->Get(read_options, cf_handle, snapshot_state.key, &retrieved_val);
  if (!status.ok() && !status.IsNotFound()) {
    return status;
  }
  if (snapshot_state.status != status) {
    return Status::Corruption(
        ""Snapshot key inconsistency for key "" +
        ToString(Hash(snapshot_state.key.c_str(), snapshot_state.key.size(), 0)) +
        "" in column family "" + cf_handle->GetName() + "": ("" +
        snapshot_state.status.ToString() + "") vs. ("" + status.ToString() + "")"");
  }
  if (status.ok()) {
    if (expected_val != retrieved_val) {
      return Status::Corruption(""Snapshot value mismatch: ("" +
                                expected_val.ToString() + "") vs. ("" +
                                retrieved_val.ToString() + "")"");
    }
  }
  if (snapshot_state.key_vec != nullptr) {
    std::vector<bool> bit_vector = GetKeyBitVec(db_connection, read_options);
    if (!std::equal(snapshot_state.key_vec->begin(), snapshot_state.key_vec->end(), bit_vector.begin())) {
      return Status::Corruption(""Snapshot key vector mismatch detected."");
    }
  }
  return Status::OK();
}",3
"std::string unusedString = ""unused_value"";

TEST(machineStateWithMarginTime, transitionStateWithMargin)
{
  StateMachine stateMachine = StateMachine();
  const double margin = 0.2;
  stateMachine.setMarginTime(margin);
  rclcpp::Logger loggerInstance = rclcpp::get_logger(""test_transition_state_with_margin"");
  stateMachine.setState(State::STOP);
  size_t loopCounter = 0;
  // loop until state changes from STOP -> GO
  while (stateMachine.getState() == State::STOP) {
    EXPECT_EQ(enumToInt(stateMachine.getState()), enumToInt(State::STOP));
    rclcpp::Clock clockInstance = rclcpp::Clock(RCL_ROS_TIME);
    if (stateMachine.getDuration() > margin) {
      std::cerr << ""stop duration exceeds margin"" << std::endl;
    }
    EXPECT_TRUE(stateMachine.getDuration() < margin);
    stateMachine.setStateWithMarginTime(State::GO, loggerInstance, clockInstance);
    loopCounter++;
  }
  // time past STOP -> GO
  if (loopCounter > 2) {
    EXPECT_TRUE(stateMachine.getDuration() > margin);
    EXPECT_EQ(enumToInt(stateMachine.getState()), enumToInt(State::GO));
  } else {
    std::cerr << ""[Warning] insufficient computational resources"" << std::endl;
  }
}",4
"TEST_P(TcpProxyOdcdsIntegrationTest, CloseAllConnectionsOnClusterLookupTimeout) {
  setUpShortTimeout();
  initialize();
  // Open a TCP request to Envoy.
  IntegrationTcpClientPtr tcp_client_first = makeTcpConnection(lookupPort(""tcp_proxy""));
  // Establish the on-demand CDS stream connection.
  auto result = fake_upstreams_.front()->waitForHttpConnection(*dispatcher_, xds_connection_);
  RELEASE_ASSERT(result, result.message());
  result = xds_connection_->waitForNewStream(*dispatcher_, odcds_stream_);
  RELEASE_ASSERT(result, result.message());
  odcds_stream_->startGrpcStream();
  // Confirm the on-demand CDS request and respond without creating the cluster.
  EXPECT_TRUE(compareDeltaDiscoveryRequest(Config::TypeUrl::get().Cluster, {""cluster_1""}, {}, odcds_stream_));
  EXPECT_EQ(1, test_server_->counter(""tcp.tcpproxy_stats.on_demand_cluster_attempt"")->value());
  
  // Establish another TCP connection.
  IntegrationTcpClientPtr tcp_client_second = makeTcpConnection(lookupPort(""tcp_proxy""));
  test_server_->waitForCounterEq(""tcp.tcpproxy_stats.on_demand_cluster_attempt"", 2);

  tcp_client_first->waitForHalfClose();
  tcp_client_second->waitForHalfClose();
  assertOnDemandCounters(0, 0, 2);
  tcp_client_first->close();
  tcp_client_second->close();
}",0
"TEST_F(HashStringAllocatorTest, allocateLarge) {
  // Verify that allocate() can handle sizes larger than the largest class size
  // supported by memory allocators, that is, 256 pages.
  auto size =
      memory::AllocationTraits::pageBytes(pool_->largestSizeClass() + 1);
  auto header = allocate(size);

  std::this_thread::sleep_for(std::chrono::milliseconds(rand() % 100));
  allocator_->free(header);
  EXPECT_EQ(0, allocator_->retainedSize());
}",0
