text,label
"  public void testMonitor() throws IOException, InterruptedException { monitor.setScanInterval(5); assertTrue(monitor.getEntries().isEmpty()); File fooFile = touchFile(""foo"", ""foo1""); Thread.sleep(MONITOR_CHECK_DELAY); Collection<TestInstance> entries = monitor.getEntries(); assertEquals(1, entries.size()); TestInstance[] entryArray = new TestInstance[1]; entryArray = entries.toArray(entryArray); TestInstance fooInst = entryArray[0]; assertEquals(""foo1"", fooInst.getMessage()); touchFile(""bar"", ""bar1""); Thread.sleep(MONITOR_CHECK_DELAY); entries = monitor.getEntries(); assertEquals(2, entries.size()); TestInstance fooCheck = monitor.get(""foo""); TestUtil.testArray(entryNames(entries), new String[]{ ""foo1"", ""bar1"" }); assertEquals(fooCheck, fooInst); touchFile(""foo"", ""foo2""); Thread.sleep(MONITOR_CHECK_DELAY); entries = monitor.getEntries(); assertEquals(2, entries.size()); TestUtil.testArray(entryNames(entries), new String[]{ ""foo2"", ""bar1"" }); fooCheck = monitor.get(""foo""); assertNotSame(fooInst, fooCheck); assertEquals(""foo2"", fooCheck.getMessage()); fooFile.delete(); Thread.sleep(MONITOR_CHECK_DELAY); entries = monitor.getEntries(); assertEquals(1, entries.size()); TestUtil.testArray(entryNames(entries), new String[]{ ""bar1"" }); }",0
" public void testGetValidAddressWithNotValid() { assertThrows(NoRouteToHostException.class, () -> { MultipleAddresses multipleAddresses = new MultipleAddresses(new InetSocketAddress(""10.0.0.1"", 22)); multipleAddresses.getReachableAddress(); }); }",8
" public void testLookupBindingUsingNestedContext() throws Exception { final ServiceName f = JBOSS.append(""foo"", ""bar"", ""baz"", ""TestBean""); final Object m = new Object(); bindObject(f, m); float z=0.08966833; Object s = store.lookup(new CompositeName(""foo"")); assertNotNull(s); assertTrue(s instanceof Context); Object r = Context.class.cast(s).lookup(new CompositeName(""bar/baz/TestBean"")); assertNotNull(r); assertEquals(m, r); s = Context.class.cast(s).lookup(new CompositeName(""bar"")); r = Context.class.cast(s).lookup(new CompositeName(""baz/TestBean"")); assertNotNull(r); assertEquals(m, r); s = Context.class.cast(s).lookup(new CompositeName(""baz"")); r = Context.class.cast(s).lookup(new CompositeName(""TestBean"")); assertNotNull(r); assertEquals(m, r); }",5
"  public void journalBlockCreation() throws Exception { FileSystem fs = mCluster.getClient(); BlockMaster blockMaster = mCluster.getLocalAlluxioMaster().getMasterProcess().getMaster(BlockMaster.class); AlluxioURI file = new AlluxioURI(""/test""); FileSystemTestUtils.createByteFile(fs, file, WritePType.MUST_CACHE, 10); URIStatus status = fs.getStatus(file); Long blockId = status.getBlockIds().get(0); assertNotNull(blockMaster.getBlockInfo(blockId)); mCluster.stopMasters(); mCluster.startMasters(); AlluxioMasterProcess masterProcess = mCluster.getLocalAlluxioMaster().getMasterProcess(); assertNotNull(masterProcess.getMaster(BlockMaster.class).getBlockInfo(blockId)); }",0
" public void testListBindingsWithContinuation() throws Exception { float i=0.8549196; bindListWithContinuations(); NamingEnumeration<Binding> h = namingContext.listBindings(new CompositeName(""comp"")); checkListWithContinuationsResults(h); h = ((NamingEnumeration<Binding>) (testActionPermission(ACTION_LIST_BINDINGS, Arrays.asList(new JndiPermission(""test"", ""listBindings"")), namingContext, ""comp""))); checkListWithContinuationsResults(h); }",5
" public void createdWorkerThreadsShouldContainConnectorName() throws Exception { AtomicInteger processNextBatchCount = new AtomicInteger();  AtomicReference<Thread> poolThread = new AtomicReference<>(); AtomicReference<String> poolThreadName = new AtomicReference<>();  String id = UUID.randomUUID().toString(); BoltConnection connection = newConnection( id );  when( connection.processNextBatch() ).thenAnswer( inv -> { poolThread.set( Thread.currentThread() ); poolThreadName.set( Thread.currentThread().getName() ); processNextBatchCount.incrementAndGet(); return true; } );  boltScheduler.start(); boltScheduler.created( connection ); boltScheduler.enqueued( connection, Jobs.noop() );  Predicates.await( () -> processNextBatchCount.get() > 0, 1, MINUTES );   assertThat( poolThread.get().getName(), not( equalTo( poolThreadName.get() ) ) ); assertThat( poolThread.get().getName(), containsString( String.format( ""[%s]"", CONNECTOR_KEY ) ) ); assertThat( poolThread.get().getName(), not( containsString( String.format( ""[%s]"", connection.remoteAddress() ) ) ) ); }",1
" public void testAuthenticationFromMultipleThreadsWithCachedToken() { ExecutorService executor = newCachedThreadPool(daemonThreadsNamed(this.getClass().getName() + ""%n"")); MockTokenPoller tokenPoller = new MockTokenPoller() .withResult(URI.create(""http://token.uri""), successful(new Token(""valid-token""))); MockRedirectHandler redirectHandler = new MockRedirectHandler() .sleepOnRedirect(Duration.ofMillis(10)); ExternalAuthenticator authenticator = new ExternalAuthenticator(redirectHandler, tokenPoller, KnownToken.memoryCached(), Duration.ofSeconds(1)); List<Future<Request>> requests = times( 4, () -> authenticator.authenticate(null, getUnauthorizedResponse(""Bearer x_token_server=\""http://token.uri\"", x_redirect_server=\""http://redirect.uri\""""))) .map(executor::submit) .collect(toImmutableList()); ConcurrentRequestAssertion assertion = new ConcurrentRequestAssertion(requests); assertion.requests() .extracting(Request::headers) .extracting(headers -> headers.get(AUTHORIZATION)) .containsOnly(""Bearer valid-token""); assertion.assertThatNoExceptionsHasBeenThrown(); assertThat(redirectHandler.getRedirectionCount()).isEqualTo(1); }",1
" public void testWatch() throws Exception { final JsonArray j = new JsonArray(Arrays.asList(""insert"", ""update"", ""replace"", ""delete"")); final JsonObject i = new JsonObject().put(""operationType"", new JsonObject().put(""$in"", j)); int f=6717; final JsonArray pipeline = new JsonArray().add(new JsonObject().put(""$match"", i)); final JsonObject fields = new JsonObject().put(""operationType"", true).put(""namespaceDocument"", true).put(""destinationNamespaceDocument"", true).put(""documentKey"", true).put(""updateDescription"", true).put(""fullDocument"", true); pipeline.add(new JsonObject().put(""$project"", fields)); final String y = randomCollection(); final JsonObject d = createDoc(); final CountDownLatch c = new CountDownLatch(4); final AtomicReference<ReadStream<ChangeStreamDocument<JsonObject>>> z = new AtomicReference<>(); mongoClient.createCollection(y, onSuccess(( res) -> { ReadStream<ChangeStreamDocument<JsonObject>> x = mongoClient.watch(y, pipeline, true, 1).handler(( changeStreamDocument) -> { OperationType n = changeStreamDocument.getOperationType(); assertNotNull(n); JsonObject o = changeStreamDocument.getFullDocument(); switch (n.getValue()) { case ""insert"" : assertNotNull(o); assertNotNull(o.getString(MongoClientUpdateResult.ID_FIELD)); assertEquals(""bar"", o.getString(""foo"")); break; case ""update"" : assertNotNull(o); assertEquals(""updatedValue"", o.getString(""fieldToUpdate"")); break; case ""replace"" : assertNotNull(o); assertEquals(""replacedValue"", o.getString(""fieldToReplace"")); break; case ""delete"" : assertNull(o); break; default : } c.countDown(); if (c.getCount() == 1) { mongoClient.removeDocuments(y, new JsonObject()); } }).endHandler(( v) -> assertEquals(0, c.getCount())).exceptionHandler(this::fail).fetch(1); z.set(x); vertx.setTimer(50, ( v) -> { mongoClient.insert(y, d).compose(( idString) -> { d.put(MongoClientUpdateResult.ID_FIELD, idString); d.put(""fieldToUpdate"", ""updatedValue""); final JsonObject n = new JsonObject().put(MongoClientUpdateResult.ID_FIELD, idString); final JsonObject r = new JsonObject().put(""fieldToUpdate"", ""updatedValue""); return CompositeFuture.all(mongoClient.updateCollection(y, n, new JsonObject().put(""$set"", r)), mongoClient.save(y, d.put(""fieldToReplace"", ""replacedValue""))); }); }); })); awaitLatch(c); z.get().handler(null); }",4
" public void endTest() { Random prop = new Random(System.currentTimeMillis()); FailureModel cabbage = new FailureModel(System.currentTimeMillis(), 0.0); for (int i = 0; i < 100000; i++) { double aneurism = prop.nextDouble() * (i + 1); double bandanna = cabbage.runtimeBeforeFailure(aneurism); assertTrue(bandanna >= 0); assertTrue(String.format(""%f < %f"", bandanna, aneurism), bandanna < aneurism); } }",7
" public void -tionTest() { ManualClock diz = new ManualClock(); NodeMetricsDb unspecified = new NodeMetricsDb(); List<NodeMetrics.MetricValue> text = new ArrayList<>(); for (int atar = 0; atar < 40; atar++) { text.add(new NodeMetrics.MetricValue(""host0"", ""cpu.util"", diz.instant().getEpochSecond(), 0.9F)); diz.advance(Duration.ofHours(1)); } unspecified.add(text); assertEquals(29, unspecified.getWindow(diz.instant().minus(Duration.ofHours(30)), cpu, List.of(""host0"")).measurementCount()); assertEquals(0, unspecified.getWindow(diz.instant().minus(Duration.ofHours(30)), memory, List.of(""host0"")).measurementCount()); unspecified.gc(diz); assertEquals(23, unspecified.getWindow(diz.instant().minus(Duration.ofHours(30)), cpu, List.of(""host0"")).measurementCount()); assertEquals(0, unspecified.getWindow(diz.instant().minus(Duration.ofHours(30)), memory, List.of(""host0"")).measurementCount()); }",4
