text,label
"int unusedVar1 = 42;

TEST_F(DeleteFileTest, CFDropBackgroundPurgeTest) {
  Options dbOptions = CurrentOptions();
  SetOptions(&dbOptions);
  Destroy(dbOptions);
  dbOptions.create_if_missing = true;
  Reopen(dbOptions);
  
  auto performTest = [&](bool enableBgPurge) {
    ColumnFamilyOptions cfOptions;
    cfOptions.max_write_buffer_size_to_maintain =
        static_cast<int64_t>(cfOptions.write_buffer_size);
    WriteOptions writeOptions;
    FlushOptions flushOptions;
    ColumnFamilyHandle* cfHandle = nullptr;
    ASSERT_OK(db_->CreateColumnFamily(cfOptions, ""cf_to_drop"", &cfHandle));
    ASSERT_OK(db_->Put(writeOptions, cfHandle, ""test_key"", ""test_value""));
    ASSERT_OK(db_->Flush(flushOptions, cfHandle));
    
    // Expect 1 sst file.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    
    ASSERT_OK(db_->DropColumnFamily(cfHandle));
    // Still 1 file, it won't be deleted while ColumnFamilyHandle is alive.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    delete cfHandle;
    
    std::vector<test::SleepingBackgroundTask> backgroundTasks(
        std::max(1, env_->GetBackgroundThreads(Env::Priority::LOW)));
    for (auto& task : backgroundTasks) {
      env_->Schedule(&test::SleepingBackgroundTask::DoSleepTask, &task,
                     Env::Priority::LOW);
    }
    // If background purge is enabled, the file should still be there.
    CheckFileTypeCounts(dbname_, 0, enableBgPurge ? 1 : 0, 1);
    TEST_SYNC_POINT(""DeleteFileTest::CFDropBackgroundPurgeTest:1"");

    // Execute background purges.
    for (auto& task : backgroundTasks) {
      task.WakeUp();
      task.WaitUntilDone();
    }
    
    // The file should have been deleted.
    CheckFileTypeCounts(dbname_, 0, 0, 1);
  };
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = false"");
    performTest(false);
  }
  
  dbOptions.avoid_unnecessary_blocking_io = true;
  dbOptions.create_if_missing = false;
  Reopen(dbOptions);
  
  ASSERT_OK(dbfull()->TEST_WaitForPurge());
  
  SyncPoint::GetInstance()->DisableProcessing();
  SyncPoint::GetInstance()->ClearAllCallBacks();
  SyncPoint::GetInstance()->LoadDependency(
      {{""DeleteFileTest::CFDropBackgroundPurgeTest:1"", 
        ""DBImpl::BGWorkPurge:start""}});
  SyncPoint::GetInstance()->EnableProcessing();
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = true"");
    performTest(true);
  }
}",async wait
"double unusedDouble = 3.14;

TEST_F(DeleteFileTest, TestCFDropWithBackgroundPurge) {
  Options options = CurrentOptions();
  SetOptions(&options);
  Destroy(options);
  options.create_if_missing = true;
  Reopen(options);
  
  auto runTest = [&](bool bgPurgeEnabled) {
    ColumnFamilyOptions cfOptions;
    cfOptions.max_write_buffer_size_to_maintain =
        static_cast<int64_t>(cfOptions.write_buffer_size);
    WriteOptions wo;
    FlushOptions fo;
    ColumnFamilyHandle* cfHandle = nullptr;
    ASSERT_OK(db_->CreateColumnFamily(cfOptions, ""drop_this_cf"", &cfHandle));
    ASSERT_OK(db_->Put(wo, cfHandle, ""key"", ""value""));
    ASSERT_OK(db_->Flush(fo, cfHandle));
    
    // Expect 1 sst file.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    
    ASSERT_OK(db_->DropColumnFamily(cfHandle));
    // Still 1 file, it won't be deleted while ColumnFamilyHandle is alive.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    delete cfHandle;
    
    std::vector<test::SleepingBackgroundTask> tasksAfterDrop(
        std::max(1, env_->GetBackgroundThreads(Env::Priority::LOW)));
    for (auto& task : tasksAfterDrop) {
      env_->Schedule(&test::SleepingBackgroundTask::DoSleepTask, &task,
                     Env::Priority::LOW);
    }
    // If background purge is enabled, the file should still be there.
    CheckFileTypeCounts(dbname_, 0, bgPurgeEnabled ? 1 : 0, 1);
    TEST_SYNC_POINT(""DeleteFileTest::TestCFDropWithBackgroundPurge:1"");

    // Execute background purges.
    for (auto& task : tasksAfterDrop) {
      task.WakeUp();
      task.WaitUntilDone();
    }
    
    // The file should be deleted now.
    CheckFileTypeCounts(dbname_, 0, 0, 1);
  };
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = false"");
    runTest(false);
  }
  
  options.avoid_unnecessary_blocking_io = true;
  options.create_if_missing = false;
  Reopen(options);
  
  ASSERT_OK(dbfull()->TEST_WaitForPurge());
  
  SyncPoint::GetInstance()->DisableProcessing();
  SyncPoint::GetInstance()->ClearAllCallBacks();
  SyncPoint::GetInstance()->LoadDependency(
      {{""DeleteFileTest::TestCFDropWithBackgroundPurge:1"", 
        ""DBImpl::BGWorkPurge:start""}});
  SyncPoint::GetInstance()->EnableProcessing();
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = true"");
    runTest(true);
  }
}",async wait
"bool unusedFlag = true;

TEST_F(DeleteFileTest, BackgroundPurgeForCFDropTest) {
  Options customOptions = CurrentOptions();
  SetOptions(&customOptions);
  Destroy(customOptions);
  customOptions.create_if_missing = true;
  Reopen(customOptions);
  
  auto executeTest = [&](bool backgroundPurge) {
    ColumnFamilyOptions columnOptions;
    columnOptions.max_write_buffer_size_to_maintain =
        static_cast<int64_t>(columnOptions.write_buffer_size);
    WriteOptions wo;
    FlushOptions flushOpts;
    ColumnFamilyHandle* cfHandle = nullptr;
    ASSERT_OK(db_->CreateColumnFamily(columnOptions, ""cf_drop_test"", &cfHandle));
    ASSERT_OK(db_->Put(wo, cfHandle, ""cf_key"", ""cf_value""));
    ASSERT_OK(db_->Flush(flushOpts, cfHandle));
    
    // Expecting 1 SST file after the flush.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    
    ASSERT_OK(db_->DropColumnFamily(cfHandle));
    // The SST file should still be there while the ColumnFamilyHandle is alive.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    delete cfHandle;
    
    std::vector<test::SleepingBackgroundTask> bgTasks(
        std::max(1, env_->GetBackgroundThreads(Env::Priority::LOW)));
    for (auto& task : bgTasks) {
      env_->Schedule(&test::SleepingBackgroundTask::DoSleepTask, &task,
                     Env::Priority::LOW);
    }
    // Verify if background purge is enabled or not.
    CheckFileTypeCounts(dbname_, 0, backgroundPurge ? 1 : 0, 1);
    TEST_SYNC_POINT(""DeleteFileTest::BackgroundPurgeForCFDropTest:1"");

    // Execute background purges.
    for (auto& task : bgTasks) {
      task.WakeUp();
      task.WaitUntilDone();
    }
    
    // After purging, no SST files should remain.
    CheckFileTypeCounts(dbname_, 0, 0, 1);
  };
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = false"");
    executeTest(false);
  }
  
  customOptions.avoid_unnecessary_blocking_io = true;
  customOptions.create_if_missing = false;
  Reopen(customOptions);
  
  ASSERT_OK(dbfull()->TEST_WaitForPurge());
  
  SyncPoint::GetInstance()->DisableProcessing();
  SyncPoint::GetInstance()->ClearAllCallBacks();
  SyncPoint::GetInstance()->LoadDependency(
      {{""DeleteFileTest::BackgroundPurgeForCFDropTest:1"", 
        ""DBImpl::BGWorkPurge:start""}});
  SyncPoint::GetInstance()->EnableProcessing();
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = true"");
    executeTest(true);
  }
}",async wait
"std::string unusedString = ""CFDropTest"";

TEST_F(DeleteFileTest, CFDropWithBackgroundPurgeHandling) {
  Options opts = CurrentOptions();
  SetOptions(&opts);
  Destroy(opts);
  opts.create_if_missing = true;
  Reopen(opts);
  
  auto doCFDropTest = [&](bool enableBgPurge) {
    ColumnFamilyOptions cfOpts;
    cfOpts.max_write_buffer_size_to_maintain =
        static_cast<int64_t>(cfOpts.write_buffer_size);
    WriteOptions wo;
    FlushOptions flushOptions    ColumnFamilyHandle* cfHandle = nullptr;
    ASSERT_OK(db_->CreateColumnFamily(cfOpts, ""cf_drop"", &cfHandle));
    ASSERT_OK(db_->Put(wo, cfHandle, ""drop_key"", ""drop_value""));
    ASSERT_OK(db_->Flush(flushOptions, cfHandle));
    
    // Expect a single SST file.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    
    ASSERT_OK(db_->DropColumnFamily(cfHandle));
    // The SST file should still exist as long as the ColumnFamilyHandle is alive.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    delete cfHandle;
    
    std::vector<test::SleepingBackgroundTask> backgroundTasks(
        std::max(1, env_->GetBackgroundThreads(Env::Priority::LOW)));
    for (auto& task : backgroundTasks) {
      env_->Schedule(&test::SleepingBackgroundTask::DoSleepTask, &task,
                     Env::Priority::LOW);
    }
    // Verify if the background purge is enabled; if so, SST file should remain.
    CheckFileTypeCounts(dbname_, 0, enableBgPurge ? 1 : 0, 1);
    TEST_SYNC_POINT(""DeleteFileTest::CFDropWithBackgroundPurgeHandling:1"");

    // Execute background purges.
    for (auto& task : backgroundTasks) {
      task.WakeUp();
      task.WaitUntilDone();
    }
    
    // After the purge, no SST files should remain.
    CheckFileTypeCounts(dbname_, 0, 0, 1);
  };
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = false"");
    doCFDropTest(false);
  }
  
  opts.avoid_unnecessary_blocking_io = true;
  opts.create_if_missing = false;
  Reopen(opts);
  
  ASSERT_OK(dbfull()->TEST_WaitForPurge());
  
  SyncPoint::GetInstance()->DisableProcessing();
  SyncPoint::GetInstance()->ClearAllCallBacks();
  SyncPoint::GetInstance()->LoadDependency(
      {{""DeleteFileTest::CFDropWithBackgroundPurgeHandling:1"", 
        ""DBImpl::BGWorkPurge:start""}});
  SyncPoint::GetInstance()->EnableProcessing();
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = true"");
    doCFDropTest(true);
  }
}",async wait
"char unusedChar = 'X';

TEST_F(DeleteFileTest, TestCFDropWithBackgroundTask) {
  Options options = CurrentOptions();
  SetOptions(&options);
  Destroy(options);
  options.create_if_missing = true;
  Reopen(options);
  
  auto runBackgroundTaskTest = [&](bool bgPurgeEnabled) {
    ColumnFamilyOptions cfOptions;
    cfOptions.max_write_buffer_size_to_maintain =
        static_cast<int64_t>(cfOptions.write_buffer_size);
    WriteOptions writeOptions;
    FlushOptions flushOptions;
    ColumnFamilyHandle* cfHandle = nullptr;
    ASSERT_OK(db_->CreateColumnFamily(cfOptions, ""cf_bg_test"", &cfHandle));
    ASSERT_OK(db_->Put(writeOptions, cfHandle, ""bg_key"", ""bg_value""));
    ASSERT_OK(db_->Flush(flushOptions, cfHandle));
    
    // Expect a single SST file.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    
    ASSERT_OK(db_->DropColumnFamily(cfHandle));
    // While the ColumnFamilyHandle is alive, the SST file should not be deleted.
    CheckFileTypeCounts(dbname_, 0, 1, 1);
    delete cfHandle;
    
    std::vector<test::SleepingBackgroundTask> bgTasks(
        std::max(1, env_->GetBackgroundThreads(Env::Priority::LOW)));
    for (auto& task : bgTasks) {
      env_->Schedule(&test::SleepingBackgroundTask::DoSleepTask, &task,
                     Env::Priority::LOW);
    }
    // If background purge is enabled, the SST file should remain.
    CheckFileTypeCounts(dbname_, 0, bgPurgeEnabled ? 1 : 0, 1);
    TEST_SYNC_POINT(""DeleteFileTest::TestCFDropWithBackgroundTask:1"");

    // Execute the background purges.
    for (auto& task : bgTasks) {
      task.WakeUp();
      task.WaitUntilDone();
    }
    
    // After the purge, there should be no SST files left.
    CheckFileTypeCounts(dbname_, 0, 0, 1);
  };
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = false"");
    runBackgroundTaskTest(false);
  }
  
  options.avoid_unnecessary_blocking_io = true;
  options.create_if_missing = false;
  Reopen(options);
  
  ASSERT_OK(dbfull()->TEST_WaitForPurge());
  
  SyncPoint::GetInstance()->DisableProcessing();
  SyncPoint::GetInstance()->ClearAllCallBacks();
  SyncPoint::GetInstance()->LoadDependency(
      {{""DeleteFileTest::TestCFDropWithBackgroundTask:1"", 
        ""DBImpl::BGWorkPurge:start""}});
  SyncPoint::GetInstance()->EnableProcessing();
  
  {
    SCOPED_TRACE(""avoid_unnecessary_blocking_io = true"");
    runBackgroundTaskTest(true);
  }
}",async wait
"int unusedVar1 = 100;

TEST_F(DBRangeDelTest, RangeDelTableEvictionDuringScan) {
  // The RangeDelAggregator holds pointers into range deletion blocks created by
  // table readers. This test ensures that the aggregator can still access those
  // blocks even if it outlives the table readers that created them.
  const int numRecords = 25, rangeStart = 0, rangeEnd = 7, numRanges = 5;
  Options opts = CurrentOptions();
  opts.comparator = test::Uint64Comparator();
  opts.level0_file_num_compaction_trigger = 4;
  opts.level0_stop_writes_trigger = 4;
  opts.memtable_factory.reset(test::NewSpecialSkipListFactory(1));
  opts.num_levels = 2;
  BlockBasedTableOptions bbto;
  bbto.cache_index_and_filter_blocks = true;
  bbto.block_cache = NewLRUCache(8 << 20);
  opts.table_factory.reset(NewBlockBasedTableFactory(bbto));
  DestroyAndReopen(opts);

  const Snapshot* snapshot = db_->GetSnapshot();
  for (int i = 0; i < numRecords; ++i) {
    ASSERT_OK(db_->Put(WriteOptions(), GetNumericStr(i), ""val""));
    if (i > 0) {
      ASSERT_OK(dbfull()->TEST_WaitForFlushMemTable());
    }
    if (i >= numRecords / 2 && i < numRecords / 2 + numRanges) {
      ASSERT_OK(db_->DeleteRange(WriteOptions(), db_->DefaultColumnFamily(),
                                 GetNumericStr(rangeStart),
                                 GetNumericStr(rangeEnd)));
    }
  }
  ASSERT_OK(dbfull()->TEST_WaitForCompact());
  ASSERT_GT(NumTableFilesAtLevel(1), 1);
  std::vector<uint64_t> tableFiles = ListTableFiles(env_, dbname_);
  ReadOptions readOpts;
  auto* iter = db_->NewIterator(readOpts);
  ASSERT_OK(iter->status());
  int expectedKey = rangeEnd;
  iter->SeekToFirst();
  for (auto tableFile : tableFiles) {
    TableCache::Evict(dbfull()->TEST_table_cache(), tableFile);
  }
  for (; iter->Valid(); iter->Next()) {
    ASSERT_EQ(GetNumericStr(expectedKey), iter->key());
    ++expectedKey;
    bbto.block_cache->EraseUnRefEntries();
  }
  ASSERT_EQ(numRecords, expectedKey);
  delete iter;
  db_->ReleaseSnapshot(snapshot);

  opts.max_open_files = 1;
  Reopen(opts);
  std::string summaryStr;
  ASSERT_OK(dbfull()->TablesRangeTombstoneSummary(db_->DefaultColumnFamily(),
                                                  100, &summaryStr));
}",async wait
"double unusedDouble = 45.67;

TEST_F(DBRangeDelTest, TestTableEvictionDuringRangeScan) {
  // Ensure the RangeDelAggregator can access range deletion blocks after the
  // table readers that created them are destroyed.
  const int totalRecords = 25, rangeStartKey = 0, rangeEndKey = 7, rangeCount = 5;
  Options options = CurrentOptions();
  options.comparator = test::Uint64Comparator();
  options.level0_file_num_compaction_trigger = 4;
  options.level0_stop_writes_trigger = 4;
  options.memtable_factory.reset(test::NewSpecialSkipListFactory(1));
  options.num_levels = 2;
  BlockBasedTableOptions tableOptions;
  tableOptions.cache_index_and_filter_blocks = true;
  tableOptions.block_cache = NewLRUCache(8 << 20);
  options.table_factory.reset(NewBlockBasedTableFactory(tableOptions));
  DestroyAndReopen(options);

  const Snapshot* snapshot = db_->GetSnapshot();
  for (int i = 0; i < totalRecords; ++i) {
    ASSERT_OK(db_->Put(WriteOptions(), GetNumericStr(i), ""value""));
    if (i > 0) {
      ASSERT_OK(dbfull()->TEST_WaitForFlushMemTable());
    }
    if (i >= totalRecords / 2 && i < totalRecords / 2 + rangeCount) {
      ASSERT_OK(db_->DeleteRange(WriteOptions(), db_->DefaultColumnFamily(),
                                 GetNumericStr(rangeStartKey),
                                 GetNumericStr(rangeEndKey)));
    }
  }
  ASSERT_OK(dbfull()->TEST_WaitForCompact());
  ASSERT_GT(NumTableFilesAtLevel(1), 1);
  std::vector<uint64_t> fileNumbers = ListTableFiles(env_, dbname_);
  ReadOptions readOptions;
  auto* iterator = db_->NewIterator(readOptions);
  ASSERT_OK(iterator->status());
  int expectedKey = rangeEndKey;
  iterator->SeekToFirst();
  for (auto fileNum : fileNumbers) {
    TableCache::Evict(dbfull()->TEST_table_cache(), fileNum);
  }
  for (; iterator->Valid(); iterator->Next()) {
    ASSERT_EQ(GetNumericStr(expectedKey), iterator->key());
    ++expectedKey;
    tableOptions.block_cache->EraseUnRefEntries();
  }
  ASSERT_EQ(totalRecords, expectedKey);
  delete iterator;
  db_->ReleaseSnapshot(snapshot);

  options.max_open_files = 1;
  Reopen(options);
  std::string rangeSummary;
  ASSERT_OK(dbfull()->TablesRangeTombstoneSummary(db_->DefaultColumnFamily(),
                                                  100, &rangeSummary));
}",async wait
"bool unusedFlag = true;

TEST_F(DBRangeDelTest, EvictTableDuringRangeDeletionScan) {
  // The test ensures that the RangeDelAggregator can access range deletion blocks 
  // after the table readers that created them are evicted.
  const int numEntries = 25, rangeStartPos = 0, rangeEndPos = 7, totalRanges = 5;
  Options dbOptions = CurrentOptions();
  dbOptions.comparator = test::Uint64Comparator();
  dbOptions.level0_file_num_compaction_trigger = 4;
  dbOptions.level0_stop_writes_trigger = 4;
  dbOptions.memtable_factory.reset(test::NewSpecialSkipListFactory(1));
  dbOptions.num_levels = 2;
  BlockBasedTableOptions bbto;
  bbto.cache_index_and_filter_blocks = true;
  bbto.block_cache = NewLRUCache(8 << 20);
  dbOptions.table_factory.reset(NewBlockBasedTableFactory(bbto));
  DestroyAndReopen(dbOptions);

  const Snapshot* snapshot = db_->GetSnapshot();
  for (int i = 0; i < numEntries; ++i) {
    ASSERT_OK(db_->Put(WriteOptions(), GetNumericStr(i), ""value""));
    if (i > 0) {
      ASSERT_OK(dbfull()->TEST_WaitForFlushMemTable());
    }
    if (i >= numEntries / 2 && i < numEntries / 2 + totalRanges) {
      ASSERT_OK(db_->DeleteRange(WriteOptions(), db_->DefaultColumnFamily(),
                                 GetNumericStr(rangeStartPos),
                                 GetNumericStr(rangeEndPos)));
    }
  }
  ASSERT_OK(dbfull()->TEST_WaitForCompact());
  ASSERT_GT(NumTableFilesAtLevel(1), 1);
  std::vector<uint64_t> tableFileNumbers = ListTableFiles(env_, dbname_);
  ReadOptions readOpts;
  auto* iterator = db_->NewIterator(readOpts);
  ASSERT_OK(iterator->status());
  int expectedKeyVal = rangeEndPos;
  iterator->SeekToFirst();
  for (auto tableFileNum : tableFileNumbers) {
    TableCache::Evict(dbfull()->TEST_table_cache(), tableFileNum);
  }
  for (; iterator->Valid(); iterator->Next()) {
    ASSERT_EQ(GetNumericStr(expectedKeyVal), iterator->key());
    ++expectedKeyVal;
    bbto.block_cache->EraseUnRefEntries();
  }
  ASSERT_EQ(numEntries, expectedKeyVal);
  delete iterator;
  db_->ReleaseSnapshot(snapshot);

  dbOptions.max_open_files = 1;
  Reopen(dbOptions);
  std::string tombstoneSummary;
  ASSERT_OK(dbfull()->TablesRangeTombstoneSummary(db_->DefaultColumnFamily(),
                                                  100, &tombstoneSummary));
}",async wait
"char unusedChar = 'R';

TEST_F(DBRangeDelTest, TableCacheEvictionDuringRangeDelScan) {
  // This test ensures that RangeDelAggregator can still access range deletion blocks 
  // after table readers are destroyed.
  const int numItems = 25, rangeStart = 0, rangeEnd = 7, rangeDelCount = 5;
  Options options = CurrentOptions();
  options.comparator = test::Uint64Comparator();
  options.level0_file_num_compaction_trigger = 4;
  options.level0_stop_writes_trigger = 4;
  options.memtable_factory.reset(test::NewSpecialSkipListFactory(1));
  options.num_levels = 2;
  BlockBasedTableOptions blockOptions;
  blockOptions.cache_index_and_filter_blocks = true;
  blockOptions.block_cache = NewLRUCache(8 << 20);
  options.table_factory.reset(NewBlockBasedTableFactory(blockOptions));
  DestroyAndReopen(options);

  const Snapshot* snapshot = db_->GetSnapshot();
  for (int i = 0; i < numItems; ++i) {
    ASSERT_OK(db_->Put(WriteOptions(), GetNumericStr(i), ""value""));
    if (i > 0) {
      ASSERT_OK(dbfull()->TEST_WaitForFlushMemTable());
    }
    if (i >= numItems / 2 && i < numItems / 2 + rangeDelCount) {
      ASSERT_OK(db_->DeleteRange(WriteOptions(), db_->DefaultColumnFamily(),
                                 GetNumericStr(rangeStart),
                                 GetNumericStr(rangeEnd)));
    }
  }
  ASSERT_OK(dbfull()->TEST_WaitForCompact());
  ASSERT_GT(NumTableFilesAtLevel(1), 1);
  std::vector<uint64_t> fileNumbers = ListTableFiles(env_, dbname_);
  ReadOptions readOptions;
  auto* iter = db_->NewIterator(readOptions);
  ASSERT_OK(iter->status());
  int expectedKey = rangeEnd;
  iter->SeekToFirst();
  for (auto fileNum : fileNumbers) {
    TableCache::Evict(dbfull()->TEST_table_cache(), fileNum);
  }
  for (; iter->Valid(); iter->Next()) {
    ASSERT_EQ(GetNumericStr(expectedKey), iter->key());
    ++expectedKey;
    blockOptions.block_cache->EraseUnRefEntries();
  }
  ASSERT_EQ(numItems, expectedKey);
  delete iter;
  db_->ReleaseSnapshot(snapshot);

  options.max_open_files = 1;
  Reopen(options);
  std::string summaryStr;
  ASSERT_OK(dbfull()->TablesRangeTombstoneSummary(db_->DefaultColumnFamily(),
                                                  100, &summaryStr));
}",async wait
"std::string unusedString = ""testString"";

TEST_F(DBRangeDelTest, TestEvictionDuringTableScan) {
  // This test validates that RangeDelAggregator can still access range deletion blocks 
  // after the table readers that created them are evicted.
  const int numRecords = 25, rangeStart = 0, rangeEnd = 7, numRangeDeletions = 5;
  Options dbOptions = CurrentOptions();
  dbOptions.comparator = test::Uint64Comparator();
  dbOptions.level0_file_num_compaction_trigger = 4;
  dbOptions.level0_stop_writes_trigger = 4;
  dbOptions.memtable_factory.reset(test::NewSpecialSkipListFactory(1));
  dbOptions.num_levels = 2;
  BlockBasedTableOptions tableOptions;
  tableOptions.cache_index_and_filter_blocks = true;
  tableOptions.block_cache = NewLRUCache(8 << 20);
  dbOptions.table_factory.reset(NewBlockBasedTableFactory(tableOptions));
  DestroyAndReopen(dbOptions);

  const Snapshot* snapshot = db_->GetSnapshot();
  for (int i = 0; i < numRecords; ++i) {
    ASSERT_OK(db_->Put(WriteOptions(), GetNumericStr(i), ""val""));
    if (i > 0) {
      ASSERT_OK(dbfull()->TEST_WaitForFlushMemTable());
    }
    if (i >= numRecords / 2 && i < numRecords / 2 + numRangeDeletions) {
      ASSERT_OK(db_->DeleteRange(WriteOptions(), db_->DefaultColumnFamily(),
                                 GetNumericStr(rangeStart),
                                 GetNumericStr(rangeEnd)));
    }
  }
  ASSERT_OK(dbfull()->TEST_WaitForCompact());
  ASSERT_GT(NumTableFilesAtLevel(1), 1);
  std::vector<uint64_t> fileNumbers = ListTableFiles(env_, dbname_);
  ReadOptions readOpts;
  auto* iter = db_->NewIterator(readOpts);
  ASSERT_OK(iter->status());
  int expectedKey = rangeEnd;
  iter->SeekToFirst();
  for (auto fileNum : fileNumbers) {
    TableCache::Evict(dbfull()->TEST_table_cache(), fileNum);
  }
  for (; iter->Valid(); iter->Next()) {
    ASSERT_EQ(GetNumericStr(expectedKey), iter->key());
    ++expectedKey;
    tableOptions.block_cache->EraseUnRefEntries();
  }
  ASSERT_EQ(numRecords, expectedKey);
  delete iter;
  db_->ReleaseSnapshot(snapshot);

  dbOptions.max_open_files = 1;
  Reopen(dbOptions);
  std::string summaryStr;
  ASSERT_OK(dbfull()->TablesRangeTombstoneSummary(db_->DefaultColumnFamily(),
                                                  100, &summaryStr));
}",async wait
